symbol,market,ts,return_pct,source,confidence,note
TWX,us,2018-06-15,0.84,yfinance-last-close:acquisition,medium,"AT&T acquired Time Warner, $107.50/share cash+stock"
MON,us,2018-06-07,0.0,manual:no-data,low,"Bayer acquired Monsanto, $128/share cash"
AET,us,2018-11-29,0.33,yfinance-last-close:acquisition,medium,"CVS acquired Aetna, $207.50/share cash+stock"
PX,us,2018-10-31,0.0,manual:no-data,low,"Linde-Praxair merger, stock swap"
CELG,us,2019-11-21,0.0,manual:no-data,low,"BMS acquired Celgene, $50 cash + 1 share BMY + CVR"
UTX,us,2020-04-03,0.0,merger-stock-swap,medium,United Technologies renamed to RTX after merging with Raytheon
RTN,us,2020-04-06,0.0,merger-stock-swap,medium,Raytheon merged into RTX
ALXN,us,2021-07-21,0.0,manual:no-data,low,"AstraZeneca acquired Alexion, $175/share cash + stock"
XLNX,us,2022-02-15,0.0,manual:no-data,low,"AMD acquired Xilinx, stock swap 1.7234 AMD per XLNX"
FB,us,2022-06-09,0.0,ticker-rename,high,Facebook renamed to Meta Platforms (ticker FB → META)
ATVI,us,2023-10-18,0.0,manual:no-data,low,"Microsoft acquired Activision Blizzard, $95/share cash"
ESRX,us,2018-12-21,-3.62,yfinance-last-close:acquisition,medium,"Cigna acquired Express Scripts, $48.75 cash + 0.2434 CI"
WBA,us,2021-01-01,-5.0,manual:no-data,low,Walgreens removed from S&P 100 (estimated)
LEH,us,2008-09-15,-99.9,manual:bankruptcy,medium,"Lehman Brothers filed Chapter 11 bankruptcy Sep 15 2008"
BSC,us,2008-05-30,0.0,manual:acquisition,medium,"Bear Stearns acquired by JPMorgan Chase at $10/share"
WB,us,2008-12-31,-80.0,manual:acquisition,low,"Wachovia acquired by Wells Fargo, deep discount"
MER,us,2009-01-02,0.0,merger-stock-swap,medium,"Merrill Lynch acquired by Bank of America, stock swap 0.8595 BAC"
WAG,us,2014-12-31,0.0,ticker-rename,medium,"Walgreen Co renamed to Walgreens Boots Alliance (WBA)"
S,us,2012-12-31,-50.0,manual:no-data,low,"Sprint removed from S&P 100 ~2012, poor performance"
TYC,us,2012-09-28,0.0,merger-stock-swap,low,"Tyco International split into 3 companies Sep 2012"
DD,us,2019-06-01,0.0,merger-stock-swap,low,"DuPont merged into DowDuPont then spun back as DD"
BMC,us,2013-09-10,0.0,manual:no-data,low,"BMC Software taken private by KKR at $46.25/share"
DELL,us,2013-10-29,0.0,manual:no-data,low,"Dell taken private by Michael Dell at $13.75/share"
TGT,us,2015-12-31,0.0,manual:no-data,low,"Target dropped from S&P 100 ~2015"
BAX,us,2015-07-01,0.0,manual:no-data,low,"Baxter split: BAX (hospital products) + BXLT (bioscience)"
ALL,us,2016-01-01,0.0,manual:no-data,low,"Allstate dropped from S&P 100 ~2015-2016"
