theme_key,code,name,market
semi,005930,삼성전자,kospi
semi,000660,SK하이닉스,kospi
semi,042700,한미반도체,kospi
semi,000990,DB하이텍,kospi
semi,036930,주성엔지니어링,kosdaq
semi,240810,원익IPS,kosdaq
semi,058470,리노공업,kosdaq
semi,039030,이오테크닉스,kosdaq
semi,064760,티씨케이,kosdaq
semi,195870,해성디에스,kospi
semi,108320,LX세미콘,kosdaq
semi,056190,SFA,kosdaq
semi,067310,하나마이크론,kosdaq
semi,403870,HPSP,kosdaq
semi,140860,파크시스템스,kosdaq
semi,095340,ISC,kosdaq
battery,373220,LG에너지솔루션,kospi
battery,006400,삼성SDI,kospi
battery,247540,에코프로비엠,kosdaq
battery,086520,에코프로,kosdaq
battery,066970,엘앤에프,kosdaq
battery,003670,포스코퓨처엠,kospi
battery,278280,천보,kosdaq
battery,121600,나노신소재,kosdaq
battery,078600,대주전자재료,kosdaq
battery,365340,성일하이텍,kosdaq
bio,207940,삼성바이오로직스,kospi
bio,068270,셀트리온,kospi
bio,000100,유한양행,kospi
bio,128940,한미약품,kospi
bio,302440,SK바이오사이언스,kospi
bio,196170,알테오젠,kosdaq
bio,145020,휴젤,kosdaq
bio,141080,리가켐바이오,kosdaq
bio,326030,SK바이오팜,kospi
bio,298380,에이비엘바이오,kosdaq
auto,005380,현대차,kospi
auto,000270,기아,kospi
auto,012330,현대모비스,kospi
auto,011210,현대위아,kospi
auto,204320,HL만도,kospi
auto,018880,한온시스템,kospi
auto,161390,한국타이어앤테크놀로지,kospi
finance,105560,KB금융,kospi
finance,055550,신한지주,kospi
finance,086790,하나금융지주,kospi
finance,316140,우리금융지주,kospi
finance,138040,메리츠금융지주,kospi
finance,323410,카카오뱅크,kospi
finance,024110,기업은행,kospi
finance,032830,삼성생명,kospi
finance,088350,한화생명,kospi
finance,000810,삼성화재,kospi
finance,005830,DB손해보험,kospi
finance,071050,한국금융지주,kospi
energy,010950,S-Oil,kospi
energy,096770,SK이노베이션,kospi
energy,051910,LG화학,kospi
energy,011170,롯데케미칼,kospi
energy,010060,OCI홀딩스,kospi
energy,011790,SKC,kospi
energy,285130,SK케미칼,kospi
energy,120110,코오롱인더,kospi
steel,005490,POSCO홀딩스,kospi
steel,004020,현대제철,kospi
steel,103140,풍산,kospi
steel,001430,세아베스틸지주,kospi
steel,014820,동원시스템즈,kospi
game,036570,NC,kospi
game,251270,넷마블,kospi
game,259960,크래프톤,kospi
game,263750,펄어비스,kosdaq
game,078340,컴투스,kosdaq
game,293490,카카오게임즈,kosdaq
game,112040,위메이드,kosdaq
game,225570,넥슨게임즈,kosdaq
game,095660,네오위즈,kosdaq
game,069080,웹젠,kosdaq
defense,012450,한화에어로스페이스,kospi
defense,079550,LIG디펜스앤에어로스페이스,kospi
defense,047810,한국항공우주,kospi
defense,064350,현대로템,kospi
defense,272210,한화시스템,kospi
defense,099320,쎄트렉아이,kosdaq
media,352820,하이브,kospi
media,035900,JYP Ent.,kosdaq
media,041510,에스엠,kosdaq
media,122870,와이지엔터테인먼트,kosdaq
media,253450,스튜디오드래곤,kosdaq
media,035760,CJ ENM,kosdaq
media,034120,SBS,kospi
ship,009540,HD한국조선해양,kospi
ship,042660,한화오션,kospi
ship,010140,삼성중공업,kospi
ship,329180,HD현대중공업,kospi
ship,010620,HD현대미포,kospi
ship,097230,HJ중공업,kospi
internet,035420,NAVER,kospi
internet,035720,카카오,kospi
internet,376300,디어유,kosdaq
internet,053800,안랩,kosdaq
internet,181710,NHN,kospi
internet,067160,SOOP,kosdaq
