symbol,sic,sector
AAPL,3571,tech
ABBV,2834,healthcare
ABT,2834,healthcare
ACN,7389,consumer
ADBE,7372,tech
AET,,other
ALL,6331,financials
AMAT,3674,tech
AMD,3674,tech
AMGN,2836,healthcare
AMT,6798,financials
AMZN,5961,consumer
AVGO,3674,tech
AXP,6199,financials
BA,3721,industrials
BAC,6021,financials
BAX,3841,healthcare
BKNG,4700,other
BLK,6211,financials
BMY,2834,healthcare
BNY,6022,financials
BRK-B,6331,financials
C,6021,financials
CAT,3531,industrials
CL,2844,materials
CMCSA,4841,other
COF,6021,financials
COP,2911,energy
COST,5331,consumer
CRM,7372,tech
CSCO,3576,tech
CVS,5912,consumer
CVX,2911,energy
DD,2821,materials
DE,3523,industrials
DHR,3823,industrials
DIS,7990,consumer
DOW,2821,materials
DUK,4931,utilities
EMR,3600,industrials
ESRX,,other
FDX,4513,other
GD,3730,industrials
GE,3600,industrials
GEV,3600,industrials
GILD,2836,healthcare
GM,3711,industrials
GOOG,7370,tech
GOOGL,7370,tech
GS,6211,financials
HD,5211,consumer
HON,3724,industrials
IBM,3570,tech
INTC,3674,tech
INTU,7372,tech
ISRG,3842,healthcare
JNJ,2834,healthcare
JPM,6021,financials
KO,2080,consumer
LIN,2810,materials
LLY,2834,healthcare
LMT,3760,industrials
LOW,5211,consumer
LRCX,3559,industrials
MA,7389,consumer
MCD,5812,consumer
MDLZ,2000,consumer
MDT,3845,healthcare
META,7370,tech
MMM,3841,healthcare
MO,2111,consumer
MRK,2834,healthcare
MS,6211,financials
MSFT,7372,tech
MU,3674,tech
NEE,4911,utilities
NFLX,7841,consumer
NKE,3021,other
NOW,7372,tech
NVDA,3674,tech
ORCL,7372,tech
PEP,2080,consumer
PFE,2834,healthcare
PG,2840,materials
PLTR,7372,tech
PM,2111,consumer
QCOM,3663,industrials
RTX,3724,industrials
SBUX,5810,consumer
SCHW,6211,financials
SO,4911,utilities
SPG,6798,financials
T,4813,other
TGT,5331,consumer
TLT,,other
TMO,3829,industrials
TMUS,4812,other
TSLA,3711,industrials
TWX,,other
TXN,3674,tech
UBER,7389,consumer
UNH,6324,financials
UNP,4011,other
UPS,4210,other
USB,6021,financials
V,7389,consumer
VZ,4813,other
WFC,6021,financials
WMT,5331,consumer
XOM,2911,energy
