symbol,sic,sector
AA,3334,other
AAL,4512,other
AAMI,6282,financials
AAON,3585,industrials
AAP,5531,consumer
AAT,6798,financials
ABCB,6022,financials
ABG,5500,consumer
ABM,7340,consumer
ABR,6798,financials
ACA,3440,industrials
ACAD,2834,healthcare
ACHC,8093,healthcare
ACI,5411,consumer
ACIW,7372,tech
ACLS,3559,industrials
ACM,8711,consumer
ACMR,3559,industrials
ACT,6411,financials
ADAM,6798,financials
ADC,6798,financials
ADEA,4841,other
ADMA,2836,healthcare
ADNT,3714,industrials
ADT,7381,consumer
ADUS,8082,healthcare
AEIS,3679,tech
AEO,5651,consumer
AESI,1311,energy
AFG,6331,financials
AGCO,3523,industrials
AGNT,6531,financials
AGO,6351,financials
AGX,1700,other
AGYS,7373,tech
AHCO,8082,healthcare
AHR,6798,financials
AIN,2221,consumer
AIR,3720,industrials
AIT,5080,consumer
AKR,6798,financials
ALG,3523,industrials
ALGM,3674,tech
ALGT,4512,other
ALHC,6324,financials
ALK,4512,other
ALKS,2834,healthcare
ALLY,6022,financials
ALRM,7372,tech
ALV,3714,industrials
AM,4922,utilities
AMG,6282,financials
AMH,6798,financials
AMKR,3674,tech
AMN,7363,consumer
AMPH,2834,healthcare
AMR,1221,materials
AMRX,2834,healthcare
AMSF,6331,financials
AMTM,7389,consumer
AMWD,2430,other
AN,5500,consumer
ANDE,5150,consumer
ANF,5651,consumer
ANIP,2834,healthcare
AORT,3841,healthcare
AOSL,3674,tech
APAM,6282,financials
APG,7340,consumer
APLE,6798,financials
APOG,3231,other
APPF,7372,tech
AR,1311,energy
ARCB,4213,other
ARI,6798,financials
ARLO,7381,consumer
ARMK,5812,consumer
AROC,4922,utilities
ARR,6798,financials
ARW,5065,consumer
ARWR,2834,healthcare
ASB,6022,financials
ASH,5160,consumer
ASO,5940,consumer
ASTE,3531,industrials
ASTH,8742,consumer
ATEN,3576,tech
ATI,3317,other
ATMU,3714,industrials
ATR,3089,other
AUB,6022,financials
AVA,4931,utilities
AVAV,3721,industrials
AVNS,3842,healthcare
AVNT,2821,materials
AVT,5065,consumer
AVTR,3826,industrials
AWI,3089,other
AWR,4941,utilities
AX,6035,financials
AXTA,2851,materials
AYI,3640,industrials
AZTA,3559,industrials
AZZ,3470,industrials
BAH,8742,consumer
BANC,6021,financials
BANF,6021,financials
BANR,6022,financials
BBT,6036,financials
BBWI,5990,consumer
BC,3510,industrials
BCC,5030,consumer
BCO,4731,other
BCPC,2800,materials
BDC,3357,other
BFAM,8351,consumer
BFH,6141,financials
BFS,6798,financials
BGC,6200,financials
BHE,3672,tech
BHF,6311,financials
BILL,7372,tech
BIO,3826,industrials
BJ,5331,consumer
BJRI,5812,consumer
BKE,5651,consumer
BKH,4911,utilities
BKU,6035,financials
BL,7372,tech
BLD,1700,other
BLFS,3845,healthcare
BLKB,7372,tech
BMI,3824,industrials
BMRN,2834,healthcare
BNL,6798,financials
BOH,6022,financials
BOOT,5661,consumer
BOX,7372,tech
BRBR,2000,consumer
BRC,3990,industrials
BRKR,3826,industrials
BROS,5810,consumer
BRX,6798,financials
BSY,7372,tech
BTSG,8082,healthcare
BTU,1221,materials
BURL,5311,consumer
BWA,3714,industrials
BWXT,3510,industrials
BXMT,6798,financials
BYD,7011,consumer
CABO,4841,other
CACI,7373,tech
CAKE,5812,consumer
CALM,200,other
CALX,4899,other
CALY,3949,industrials
CAR,7510,consumer
CARG,7374,tech
CART,7389,consumer
CASH,6021,financials
CATY,6022,financials
CAVA,5812,consumer
CBRL,5812,consumer
CBSH,6022,financials
CBT,2890,materials
CBU,6021,financials
CC,2800,materials
CCK,3411,industrials
CCOI,4899,other
CCS,1531,other
CDP,6798,financials
CE,2820,materials
CELH,2086,consumer
CENT,5190,consumer
CENTA,5190,consumer
CENX,3334,other
CERT,7372,tech
CFFN,6035,financials
CFR,6021,financials
CG,6282,financials
CGNX,3823,industrials
CHCO,6021,financials
CHDN,7948,consumer
CHE,8082,healthcare
CHEF,5141,consumer
CHH,7011,consumer
CHRD,1311,energy
CHWY,5961,consumer
CLB,1389,energy
CLF,1000,materials
CLH,4955,utilities
CLSK,6199,financials
CMC,3312,other
CNH,3531,industrials
CNK,7830,consumer
CNM,5099,consumer
CNMD,3845,healthcare
CNO,6321,financials
CNR,1220,materials
CNS,6282,financials
CNX,1311,energy
CNXC,7389,consumer
CNXN,5045,consumer
COCO,2080,consumer
COHU,3825,industrials
COKE,2086,consumer
COLB,6022,financials
COLL,2834,healthcare
COLM,2300,consumer
CON,8093,healthcare
CORT,2834,healthcare
COTY,2844,materials
CPF,6022,financials
CPK,4923,utilities
CPRI,3100,other
CPRX,2834,healthcare
CR,3490,industrials
CRBG,6311,financials
CRC,1311,energy
CRGY,1311,energy
CRI,2300,consumer
CRK,1311,energy
CROX,3021,other
CRS,3312,other
CRSR,3577,tech
CRUS,3674,tech
CRVL,6411,financials
CSL,3060,other
CSR,6798,financials
CSW,2891,materials
CTKB,3826,industrials
CTRE,6798,financials
CTS,3672,tech
CUBE,6798,financials
CUBI,6022,financials
CURB,6500,financials
