date,nc_net,comm_net,open_interest
2010-06-15,-15536,-6390,1132309
2010-06-22,-5133,-20856,822092
2010-06-29,-1014,-25515,850401
2010-07-06,-20623,-1972,883425
2010-07-13,-34695,26964,874896
2010-07-20,-29325,14180,870890
2010-07-27,-27186,9202,868087
2010-08-03,-25252,-1570,865807
2010-08-10,-24835,-2693,870141
2010-08-17,-18386,32,884624
2010-08-24,-29539,11512,910530
2010-08-31,-36514,18880,938443
2010-09-07,-47964,24409,943773
2010-09-14,-45652,22643,1103826
2010-09-21,-27959,10154,779357
2010-09-28,-14311,-7836,811413
2010-10-05,-3191,-28853,829851
2010-10-12,-8410,-24064,843960
2010-10-19,-6236,-21125,854075
2010-10-26,4184,-29001,869680
2010-11-02,7628,-34872,879024
2010-11-09,2147,-36162,904392
2010-11-16,1114,-40050,921238
2010-11-23,-12397,-24396,936881
2010-11-30,-4837,-27178,941143
2010-12-07,-4525,-38153,980643
2010-12-14,11987,-47118,1109473
2010-12-21,74,-35734,758336
2010-12-28,-5412,-26308,769754
2011-01-04,-4753,-32336,776403
2011-01-11,5529,-46282,793466
2011-01-18,-6331,-29042,810682
2011-01-25,-48,-39204,837948
2011-02-01,-792,-43084,855085
2011-02-08,-17014,-13447,878168
2011-02-15,-16084,-13489,893447
2011-02-22,-18027,-8496,917177
2011-03-01,-17674,-23014,946217
2011-03-08,-19066,-16813,979528
2011-03-15,-22514,4960,1173662
2011-03-22,-26850,9220,808947
2011-03-29,-22769,-10984,826332
2011-04-05,-10068,-30515,838763
2011-04-12,-22653,-17496,843173
2011-04-19,-33755,-2899,859929
2011-04-26,-12154,-30956,872221
2011-05-03,1747,-47491,885078
2011-05-10,-5730,-45179,863175
2011-05-17,-4924,-39979,870469
2011-05-24,-16227,-23130,896257
2011-05-31,-20086,-21269,905541
2011-06-07,-23110,-21656,948917
2011-06-14,-19676,-17084,1072737
2011-06-21,-17430,-19373,771574
2011-06-28,-16522,-15009,767317
2011-07-05,-23548,-3983,767993
2011-07-12,-1398,-32705,795442
2011-07-19,-12880,-21155,792364
2011-07-26,-9813,-25729,802406
2011-08-02,-4412,-23287,855617
2011-08-09,-47069,30739,1011909
2011-08-16,-71980,68219,977983
2011-08-23,-84493,76975,1062071
2011-08-30,-107914,101305,1113795
2011-09-06,-108117,97242,1193021
2011-09-13,-98789,106985,1322673
2011-09-20,-71233,77607,849368
2011-09-27,-67981,76969,881093
2011-10-04,-67704,64005,925564
2011-10-11,-63566,68293,886848
2011-10-18,-70616,75514,892321
2011-10-25,-64719,64994,896677
2011-11-01,-56202,50319,859816
2011-11-08,-53959,48860,874939
2011-11-15,-45423,36040,897885
2011-11-22,-56927,45143,901580
2011-11-29,-60603,49213,902281
2011-12-06,-44103,30757,926993
2011-12-13,-35614,21699,1023384
2011-12-20,-37263,17463,745391
2011-12-27,-44489,28982,764761
2012-01-03,-38111,16052,788830
2012-01-10,-39033,12602,755841
2012-01-17,-45646,19844,766599
2012-01-24,-40696,14954,794994
2012-01-31,-32572,2141,799299
2012-02-07,-28639,1959,798596
2012-02-14,-40799,15013,796294
2012-02-21,-35921,11821,808052
2012-02-28,-24227,6728,811993
2012-03-06,-29899,14074,846787
2012-03-13,-17118,-1582,967328
2012-03-20,-32003,10704,761130
2012-03-27,-28090,324,772728
2012-04-03,-32103,1366,776067
2012-04-10,-26237,-7477,790586
2012-04-17,-15973,-17326,796135
2012-04-24,-27476,-4095,805068
2012-05-01,-3584,-31292,816564
2012-05-08,-19374,-15934,822718
2012-05-15,-11566,-19862,851882
2012-05-22,-34465,7441,873488
2012-05-29,-41316,16355,881189
2012-06-05,-36712,10786,933308
2012-06-12,-37603,10700,1016255
2012-06-19,-25184,1946,740602
2012-06-26,-17432,-7184,774074
2012-07-03,-18152,-7550,773321
2012-07-10,-25871,-1954,794026
2012-07-17,-18250,-10498,801482
2012-07-24,-23308,-2920,817472
2012-07-31,-6419,-23162,781796
2012-08-07,5181,-33292,802712
2012-08-14,-928,-27557,820949
2012-08-21,-8626,-22633,834977
2012-08-28,-2895,-30330,848540
2012-09-04,-6565,-25500,861624
2012-09-11,11902,-47231,871458
2012-09-18,18656,-56163,976025
2012-09-25,26391,-64740,754465
2012-10-02,21350,-55230,777618
2012-10-09,21880,-59199,775286
2012-10-16,30865,-64492,784344
2012-10-23,10789,-45799,805026
2012-10-30,11987,-44928,809024
2012-11-06,15715,-43685,807567
2012-11-13,24989,-57829,828091
2012-11-20,6797,-40814,852640
2012-11-27,10456,-37143,847506
2012-12-04,25466,-58459,851897
2012-12-11,43711,-75718,866940
