symbol,market,period_end,asof_ts,revenue,operating_income,net_income,free_cash_flow,total_assets,total_equity,total_debt,shares_out,eps,source
000660,kospi,2025-12-31,2026-05-07T15:55:05.130524,,,18000000000000.0,12000000000000.0,,90000000000000.0,20000000000000.0,728002365.0,24725.0,manual
005380,kospi,2025-12-31,2026-05-07T15:55:05.153144,,,14000000000000.0,7000000000000.0,,110000000000000.0,90000000000000.0,211531506.0,66299.0,manual
005930,kospi,2025-12-31,2026-05-07T15:55:05.138836,,,35000000000000.0,28000000000000.0,,300000000000000.0,5000000000000.0,5969782550.0,5863.0,manual
035420,kospi,2025-12-31,2026-05-07T15:55:21.499990,,,1200000000000.0,900000000000.0,,24000000000000.0,3000000000000.0,164049085.0,7315.0,manual
051910,kospi,2025-12-31,2026-05-07T15:55:21.504910,,,2500000000000.0,1000000000000.0,,40000000000000.0,12000000000000.0,70592343.0,35415.0,manual
AAPL,us,2006-09-30,2009-10-27T00:00:00,,,,,,9984000000.0,,,,sec_edgar:companyfacts
AAPL,us,2007-09-29,2009-10-27T00:00:00,,,3496000000.0,,,14532000000.0,,,3.93,sec_edgar:companyfacts
AAPL,us,2008-06-28,2009-07-22T00:00:00,,,3698000000.0,,,,,,4.1,sec_edgar:companyfacts
AAPL,us,2008-09-27,2009-10-27T00:00:00,,,4834000000.0,,,21030000000.0,,888325973.0,5.36,sec_edgar:companyfacts
AAPL,us,2008-12-27,2010-01-25T00:00:00,,,2255000000.0,,,,,,2.5,sec_edgar:companyfacts
AAPL,us,2009-03-28,2010-04-21T00:00:00,,,3875000000.0,,,,,,4.29,sec_edgar:companyfacts
AAPL,us,2009-06-27,2009-07-22T00:00:00,,,4039000000.0,,,25888000000.0,,895735210.0,4.47,sec_edgar:companyfacts
AAPL,us,2009-09-26,2009-10-27T00:00:00,,,5704000000.0,,,27832000000.0,,899805500.0,6.29,sec_edgar:companyfacts
AAPL,us,2009-12-26,2010-01-25T00:00:00,,,3378000000.0,,,35768000000.0,,906282182.0,3.67,sec_edgar:companyfacts
AAPL,us,2010-03-27,2010-04-21T00:00:00,,,6452000000.0,,,39348000000.0,,909635811.0,7.0,sec_edgar:companyfacts
AAPL,us,2010-06-26,2010-07-21T00:00:00,,,9705000000.0,,,43111000000.0,,913482347.0,10.51,sec_edgar:companyfacts
AAPL,us,2010-09-25,2010-10-27T00:00:00,,,14013000000.0,,,47791000000.0,,915970050.0,15.15,sec_edgar:companyfacts
AAPL,us,2010-12-25,2011-01-19T00:00:00,,,6004000000.0,,,54666000000.0,,921035475.0,6.43,sec_edgar:companyfacts
AAPL,us,2011-03-26,2011-04-21T00:00:00,,,11991000000.0,,,61477000000.0,,924674079.0,12.83,sec_edgar:companyfacts
AAPL,us,2011-06-25,2011-07-20T00:00:00,,,19299000000.0,,,69343000000.0,,926903779.0,20.63,sec_edgar:companyfacts
AAPL,us,2011-09-24,2011-10-26T00:00:00,,,25922000000.0,,,76615000000.0,,929277000.0,27.68,sec_edgar:companyfacts
AAPL,us,2011-12-31,2012-01-25T00:00:00,,,13064000000.0,,,90054000000.0,,932214000.0,13.87,sec_edgar:companyfacts
AAPL,us,2012-03-31,2012-04-25T00:00:00,,,24686000000.0,,,102498000000.0,,934982000.0,26.17,sec_edgar:companyfacts
AAPL,us,2012-06-30,2012-07-25T00:00:00,,,33510000000.0,,,111746000000.0,,937266000.0,35.48,sec_edgar:companyfacts
AAPL,us,2012-09-29,2012-10-31T00:00:00,,,41733000000.0,,,118210000000.0,0.0,939208000.0,44.15,sec_edgar:companyfacts
AAPL,us,2012-12-29,2013-01-24T00:00:00,,,13078000000.0,,,127346000000.0,,938973000.0,13.81,sec_edgar:companyfacts
AAPL,us,2013-03-30,2013-04-24T00:00:00,,,22625000000.0,,,135490000000.0,,940094000.0,23.9,sec_edgar:companyfacts
AAPL,us,2013-06-29,2013-07-24T00:00:00,,,29525000000.0,,,123354000000.0,16958000000.0,908442000.0,31.44,sec_edgar:companyfacts
AAPL,us,2013-09-28,2015-10-28T00:00:00,,,37037000000.0,45501000000.0,,123549000000.0,16960000000.0,899213000.0,39.75,sec_edgar:companyfacts
AAPL,us,2013-12-28,2015-01-28T00:00:00,,,13072000000.0,20685000000.0,,129684000000.0,16961000000.0,892447000.0,14.5,sec_edgar:companyfacts
AAPL,us,2014-03-29,2015-04-28T00:00:00,,,23295000000.0,,,120179000000.0,16962000000.0,861745.0,26.16,sec_edgar:companyfacts
AAPL,us,2014-06-28,2015-07-22T00:00:00,,,31043000000.0,,,120940000000.0,29030000000.0,5989171000.0,5.03,sec_edgar:companyfacts
AAPL,us,2014-09-27,2015-10-28T00:00:00,,,39510000000.0,,,111547000000.0,28987000000.0,5866161000.0,6.45,sec_edgar:companyfacts
AAPL,us,2014-12-27,2015-01-28T00:00:00,,,18024000000.0,,,123328000000.0,32504000000.0,5826419000.0,3.06,sec_edgar:companyfacts
AAPL,us,2015-03-28,2015-04-28T00:00:00,,,31593000000.0,,,129006000000.0,40072000000.0,5762278000.0,5.39,sec_edgar:companyfacts
AAPL,us,2015-06-27,2015-07-22T00:00:00,,,42270000000.0,,,125677000000.0,,5705400000.0,7.25,sec_edgar:companyfacts
AAPL,us,2015-09-26,2017-11-03T00:00:00,,,53394000000.0,70019000000.0,,119355000000.0,,5578753000.0,9.22,sec_edgar:companyfacts
AAPL,us,2015-12-26,2016-01-27T00:00:00,,,18361000000.0,,,128267000000.0,,5544487000.0,3.28,sec_edgar:companyfacts
AAPL,us,2016-03-26,2017-05-03T00:00:00,,,28877000000.0,33116000000.0,,130457000000.0,,5478446000.0,5.19,sec_edgar:companyfacts
AAPL,us,2016-06-25,2017-08-02T00:00:00,,,36673000000.0,40941000000.0,,126541000000.0,,5393165000.0,6.62,sec_edgar:companyfacts
AAPL,us,2016-09-24,2018-11-05T00:00:00,215639000000.0,,45687000000.0,53090000000.0,,128249000000.0,,5336166000.0,8.31,sec_edgar:companyfacts
AAPL,us,2016-12-31,2018-11-05T00:00:00,78351000000.0,,17891000000.0,23900000000.0,,132390000000.0,,5255423000.0,3.36,sec_edgar:companyfacts
