universe,symbol,market,start_date,end_date,source,confidence,asset_class,asset_subclass,role
MULTI_ASSET_ETF_2008,SPY,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,us-large-blend,risk
MULTI_ASSET_ETF_2008,DIA,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,us-large-value,risk
MULTI_ASSET_ETF_2008,QQQ,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,us-large-growth,risk
MULTI_ASSET_ETF_2008,QID,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-17,high,inverse-equity,nasdaq-100-2x-inverse,crash-hedge
MULTI_ASSET_ETF_2008,SDS,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-17,high,inverse-equity,sp-500-2x-inverse,crash-hedge
MULTI_ASSET_ETF_2008,IWM,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,us-small-cap,risk
MULTI_ASSET_ETF_2008,MDY,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,us-mid-cap,risk
MULTI_ASSET_ETF_2008,IWB,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,us-total-large,risk
MULTI_ASSET_ETF_2008,IWF,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,us-growth,risk
MULTI_ASSET_ETF_2008,IWD,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,us-value,risk
MULTI_ASSET_ETF_2008,RSP,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,us-equal-weight,risk
MULTI_ASSET_ETF_2008,EFA,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,developed-ex-us,risk
MULTI_ASSET_ETF_2008,EEM,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,emerging-markets,risk
MULTI_ASSET_ETF_2008,VEA,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,developed-ex-us,risk
MULTI_ASSET_ETF_2008,VWO,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,emerging-markets,risk
MULTI_ASSET_ETF_2008,EWJ,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,japan,risk
MULTI_ASSET_ETF_2008,EWG,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,germany,risk
MULTI_ASSET_ETF_2008,EWU,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,united-kingdom,risk
MULTI_ASSET_ETF_2008,EWC,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,canada,risk
MULTI_ASSET_ETF_2008,EWA,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,australia,risk
MULTI_ASSET_ETF_2008,EPP,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity,pacific-ex-japan,risk
MULTI_ASSET_ETF_2008,XLB,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity-sector,materials,risk
MULTI_ASSET_ETF_2008,XLE,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity-sector,energy,risk
MULTI_ASSET_ETF_2008,XLF,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity-sector,financials,risk
MULTI_ASSET_ETF_2008,XLI,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity-sector,industrials,risk
MULTI_ASSET_ETF_2008,XLK,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity-sector,technology,risk
MULTI_ASSET_ETF_2008,XLP,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity-sector,consumer-staples,risk
MULTI_ASSET_ETF_2008,XLU,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity-sector,utilities,risk
MULTI_ASSET_ETF_2008,XLV,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity-sector,health-care,risk
MULTI_ASSET_ETF_2008,XLY,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,equity-sector,consumer-discretionary,risk
MULTI_ASSET_ETF_2008,SHY,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,bond,treasury-short,defensive
MULTI_ASSET_ETF_2008,IEF,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,bond,treasury-intermediate,defensive
MULTI_ASSET_ETF_2008,TLT,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,bond,treasury-long,defensive
MULTI_ASSET_ETF_2008,TIP,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,bond,treasury-inflation-linked,defensive
MULTI_ASSET_ETF_2008,AGG,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,bond,aggregate,defensive
MULTI_ASSET_ETF_2008,BND,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,bond,aggregate,defensive
MULTI_ASSET_ETF_2008,LQD,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,credit,investment-grade,risk
MULTI_ASSET_ETF_2008,HYG,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,credit,high-yield,risk
MULTI_ASSET_ETF_2008,GLD,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,commodity,gold,risk
MULTI_ASSET_ETF_2008,SLV,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,commodity,silver,risk
MULTI_ASSET_ETF_2008,DBC,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,commodity,broad-basket,risk
MULTI_ASSET_ETF_2008,USO,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,commodity,oil,risk
MULTI_ASSET_ETF_2008,DBA,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,commodity,agriculture,risk
MULTI_ASSET_ETF_2008,VNQ,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,real-asset,reit,risk
MULTI_ASSET_ETF_2008,IYR,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,real-asset,reit,risk
MULTI_ASSET_ETF_2008,GDX,us,2008-01-01,,manual:yahoo-coverage-verified-2026-05-13,high,real-asset,gold-miners,risk
