universe,symbol,market,start_date,end_date,source,confidence,asset_class,asset_subclass,role
SP100_PIT_2008,AAPL,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,ABBV,us,2013-01-02,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,ABT,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,ACN,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,ADBE,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,AMAT,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,AMGN,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,AMT,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,AMZN,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,AXP,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,BA,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,BAC,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,BLK,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,BMY,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,BNY,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,BRK-B,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,C,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,CAT,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,CL,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,CMCSA,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,COF,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
SP100_PIT_2008,COP,us,2008-01-01,,wikipedia:sp100-components+sp500-historical+pit-2016-backfill,low,equity,us-large-cap,risk
