universe,symbol,market,start_date,end_date,source,confidence,asset_class,asset_subclass,role
SP400_600_CURRENT,AA,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AAL,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AAMI,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AAON,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AAP,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AAT,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ABCB,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ABG,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ABM,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ABR,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ACA,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ACAD,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ACHC,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ACI,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ACIW,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ACLS,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ACM,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ACMR,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ACT,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ADAM,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ADC,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ADEA,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ADMA,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ADNT,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ADT,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ADUS,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AEIS,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AEO,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AESI,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AFG,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AGCO,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AGNT,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AGO,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AGX,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AGYS,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AHCO,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AHR,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AIN,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AIR,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AIT,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AKR,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ALG,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ALGM,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ALGT,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ALHC,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ALK,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ALKS,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ALLY,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ALRM,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ALV,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AM,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AMG,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AMH,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AMKR,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AMN,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AMPH,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AMR,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AMRX,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AMSF,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AMTM,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AMWD,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AN,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ANDE,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ANF,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ANIP,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AORT,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AOSL,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,APAM,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,APG,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,APLE,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,APOG,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,APPF,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AR,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ARCB,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ARI,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ARLO,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ARMK,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AROC,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ARR,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ARW,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ARWR,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ASB,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ASH,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ASO,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ASTE,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ASTH,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ATEN,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ATI,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,ATMU,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,ATR,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AUB,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AVA,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AVAV,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AVNS,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AVNT,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AVT,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AVTR,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AWI,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AWR,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AX,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AXTA,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AYI,us,2026-05-31,,wikipedia,medium,equity,us-mid-cap,risk
SP400_600_CURRENT,AZTA,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
SP400_600_CURRENT,AZZ,us,2026-05-31,,wikipedia,medium,equity,us-small-cap,risk
