universe,symbol,market,start_date,end_date,source,confidence,asset_class,asset_subclass,role
THEMATIC_CYCLE_2016,SOXX,us,2016-01-01,,manual:listed-before-window,high,equity-industry,semiconductors,risk
THEMATIC_CYCLE_2016,SMH,us,2016-01-01,,manual:listed-before-window,high,equity-industry,semiconductors,risk
THEMATIC_CYCLE_2016,XBI,us,2016-01-01,,manual:listed-before-window,high,equity-industry,biotech,risk
THEMATIC_CYCLE_2016,IBB,us,2016-01-01,,manual:listed-before-window,high,equity-industry,biotech,risk
THEMATIC_CYCLE_2016,XRT,us,2016-01-01,,manual:listed-before-window,high,equity-industry,retail,risk
THEMATIC_CYCLE_2016,ITA,us,2016-01-01,,manual:listed-before-window,high,equity-industry,aerospace-defense,risk
THEMATIC_CYCLE_2016,KIE,us,2016-01-01,,manual:listed-before-window,high,equity-industry,insurance,risk
THEMATIC_CYCLE_2016,KRE,us,2016-01-01,,manual:listed-before-window,high,equity-industry,regional-banks,risk
THEMATIC_CYCLE_2016,IYR,us,2016-01-01,,manual:listed-before-window,high,real-asset,reit,risk
THEMATIC_CYCLE_2016,GDX,us,2016-01-01,,manual:listed-before-window,high,real-asset,gold-miners,risk
THEMATIC_CYCLE_2016,XOP,us,2016-01-01,,manual:listed-before-window,high,equity-industry,oil-gas-explore,risk
THEMATIC_CYCLE_2016,XHB,us,2016-01-01,,manual:listed-before-window,high,equity-industry,homebuilders,risk
THEMATIC_CYCLE_2016,XME,us,2016-01-01,,manual:listed-before-window,high,equity-industry,metals-mining,risk
THEMATIC_CYCLE_2016,IGV,us,2016-01-01,,manual:listed-before-window,high,equity-industry,software,risk
THEMATIC_CYCLE_2016,HACK,us,2016-01-01,,manual:listed-2014-11-12-before-window,high,equity-industry,cybersecurity,risk
THEMATIC_CYCLE_2016,TLT,us,2016-01-01,,manual:listed-before-window,high,bond,treasury-long,defensive
THEMATIC_CYCLE_2016,SHY,us,2016-01-01,,manual:listed-before-window,high,bond,treasury-short,defensive
THEMATIC_CYCLE_2016,GLD,us,2016-01-01,,manual:listed-before-window,high,commodity,gold,risk
